"",,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Iraq","Total area of the country (excl. coastal waters) (1000 ha)",1987,43832.0,"E",,1992,43832.0,"E",,1997,43832.0,"E",,2002,43832.0,"E",,2007,43832.0,"E",,2012,43524.0,"E",,2016,43505.0,"E",
"Iraq","Arable land area (1000 ha)",1987,5250.0,"E",,1992,5300.0,"E",,1997,4400.0,"E",,2002,4650.0,"E",,2007,4950.0,"E",,2012,4318.0,"E",,2016,5000.0,"E",
"Iraq","Permanent crops area (1000 ha)",1987,230.0,"E",,1992,250.0,"E",,1997,260.0,"E",,2002,190.0,"E",,2007,190.0,"E",,2012,250.0,"E",,2016,300.0,"E",
"Iraq","Cultivated area (arable land + permanent crops) (1000 ha)",1987,5480.0,"E",,1992,5550.0,"E",,1997,4660.0,"E",,2002,4840.0,"E",,2007,5140.0,"E",,2012,4568.0,"E",,2016,5300.0,"E",
"Iraq","% of total country area cultivated (%)",1987,12.5,"E",,1992,12.66,"E",,1997,10.63,"E",,2002,11.04,"E",,2007,11.73,"E",,2012,10.5,"E",,2016,12.18,"E",
"Iraq","Total population (1000 inhab)",1987,16290.0,"E",,1992,18458.0,"E",,1997,21509.0,"E",,2002,24939.0,"E",,2007,28390.0,"E",,2012,32777.0,"E",,2017,38275.0,"E",
"Iraq","Rural population (1000 inhab)",1987,4876.0,"E",,1992,5598.0,"E",,1997,6669.0,"E",,2002,7625.0,"E",,2007,8595.0,"E",,2012,10103.0,"E",,2017,11969.0,"E",
"Iraq","Urban population (1000 inhab)",1987,11414.0,"E",,1992,12860.0,"E",,1997,14840.0,"E",,2002,17314.0,"E",,2007,19795.0,"E",,2012,22674.0,"E",,2017,26306.0,"E",
"Iraq","Population density (inhab/km2)",1987,37.16,"E",,1992,42.11,"E",,1997,49.07,"E",,2002,56.9,"E",,2007,64.77,"E",,2012,75.31,"E",,2017,87.98,"E",
"Iraq","Gross Domestic Product (GDP) (current US$)",1987,5.6609842393E10,"E",,1990,1.8E11,"E",,1997,1.0113863358E10,"E",,2002,1.8969591211E10,"E",,2007,8.8840050497E10,"E",,2012,2.18E11,"E",,2015,1.69E11,"E",
"Iraq","GDP per capita (current US$/inhab)",1987,3475.0,"E",,1990,9752.0,"E",,1997,470.2,"E",,2002,760.6,"E",,2007,3129.0,"E",,2012,6651.0,"E",,2015,4415.0,"E",
"Iraq","Agriculture, value added (% GDP) (%)",,,"",,,,"",,1997,8.847,"E",,2002,8.997,"E",,2003,8.572,"E",,,,"",,,,"",
"Iraq","Human Development Index (HDI) [highest = 1] (-)",,,"",,1990,0.5722,"E",,,,"",,2000,0.6064,"E",,,,"",,2012,0.6537,"E",,2014,0.6539,"E",
"Iraq","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,"",,,,"",,,,"",,,,"",,2005,0.797,"E",,2010,0.548,"E",,2014,0.5388,"E",
"Iraq","Prevalence of undernourishment (3-year average) (%)",,,"",,1992,7.9,"E",,1997,22.6,"E",,2002,23.5,"E",,2007,26.0,"E",,2012,24.5,"E",,2016,22.8,"E",
"Iraq","Number of people undernourished (3-year average) (1000 inhab)",,,"",,1992,1400.0,"E",,1997,4800.0,"E",,2002,5800.0,"E",,2007,7300.0,"E",,2012,7800.0,"E",,2016,8100.0,"E",
"Iraq","Long-term average annual precipitation in depth (mm/year)",1987,216.0,"",,1992,216.0,"",,1997,216.0,"",,2002,216.0,"",,2007,216.0,"",,2012,216.0,"",,2017,216.0,"",
"Iraq","Long-term average annual precipitation in volume (10^9 m3/year)",1987,94.68,"K",,1992,94.68,"K",,1997,94.68,"K",,2002,94.68,"K",,2007,94.68,"K",,2012,94.01,"K",,2017,93.97,"K",
"Iraq","Surface water produced internally (10^9 m3/year)",1987,34.0,"",,1992,34.0,"",,1997,34.0,"",,2002,34.0,"",,2007,34.0,"",,2012,34.0,"",,2017,34.0,"",
"Iraq","Groundwater produced internally (10^9 m3/year)",1987,3.2,"",,1992,3.2,"",,1997,3.2,"",,2002,3.2,"",,2007,3.2,"",,2012,3.2,"",,2017,3.2,"",
"Iraq","Overlap between surface water and groundwater (10^9 m3/year)",1987,2.0,"",,1992,2.0,"",,1997,2.0,"",,2002,2.0,"",,2007,2.0,"",,2012,2.0,"",,2017,2.0,"",
"Iraq","Total internal renewable water resources (IRWR) (10^9 m3/year)",1987,35.2,"",,1992,35.2,"",,1997,35.2,"",,2002,35.2,"",,2007,35.2,"",,2012,35.2,"",,2017,35.2,"",
"Iraq","Total internal renewable water resources per capita (m3/inhab/year)",1987,2161.0,"K",,1992,1907.0,"K",,1997,1637.0,"K",,2002,1411.0,"K",,2007,1240.0,"K",,2012,1074.0,"K",,2017,919.7,"K",
"Iraq","Surface water: entering the country (total) (10^9 m3/year)",1987,61.33,"","[1]",1992,61.33,"","[2]",1997,61.33,"","[3]",2002,61.33,"","[4]",2007,61.33,"","[5]",2012,61.33,"","[6]",2017,61.33,"",
"Iraq","Surface water: inflow not submitted to treaties (10^9 m3/year)",1987,45.58,"I",,1992,45.58,"I",,1997,45.58,"I",,2002,45.58,"I",,2007,45.58,"I",,2012,45.58,"I",,2017,45.58,"I",
"Iraq","Surface water: inflow submitted to treaties (10^9 m3/year)",1987,15.75,"I","[7]",1992,15.75,"I","[8]",1997,15.75,"I","[9]",2002,15.75,"I","[10]",2007,15.75,"I","[11]",2012,15.75,"I","[12]",2017,15.75,"I",
"Iraq","Surface water: inflow secured through treaties (10^9 m3/year)",1987,9.0,"",,1992,9.0,"",,1997,9.0,"",,2002,9.0,"",,2007,9.0,"",,2012,9.0,"",,2017,9.0,"",
"Iraq","Surface water: total flow of border rivers (10^9 m3/year)",1987,0.0,"I",,1992,0.0,"I",,1997,0.0,"I",,2002,0.0,"I",,2007,0.0,"I",,2012,0.0,"I",,2017,0.0,"I",
"Iraq","Surface water: accounted flow of border rivers (10^9 m3/year)",1987,0.0,"","[13]",1992,0.0,"","[14]",1997,0.0,"","[15]",2002,0.0,"","[16]",2007,0.0,"","[17]",2012,0.0,"","[18]",2017,0.0,"",
"Iraq","Surface water: accounted inflow (10^9 m3/year)",1987,54.58,"I",,1992,54.58,"I",,1997,54.58,"I",,2002,54.58,"I",,2007,54.58,"I",,2012,54.58,"I",,2017,54.58,"I",
"Iraq","Surface water: leaving the country to other countries (total) (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Surface water: outflow to other countries not submitted to treaties (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Surface water: outflow to other countries submitted to treaties (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Surface water: outflow to other countries secured through treaties (10^9 m3/year)",1987,0.0,"I",,1992,0.0,"I",,1997,0.0,"I",,2002,0.0,"I",,2007,0.0,"I",,2012,0.0,"I",,2017,0.0,"I",
"Iraq","Surface water: total external renewable (10^9 m3/year)",1987,54.58,"I",,1992,54.58,"I",,1997,54.58,"I",,2002,54.58,"I",,2007,54.58,"I",,2012,54.58,"I",,2017,54.58,"I",
"Iraq","Groundwater: entering the country (total) (10^9 m3/year)",1987,0.08,"","[19]",1992,0.08,"","[20]",1997,0.08,"","[21]",2002,0.08,"","[22]",2007,0.08,"","[23]",2012,0.08,"","[24]",2017,0.08,"",
"Iraq","Groundwater: accounted inflow (10^9 m3/year)",1987,0.08,"",,1992,0.08,"",,1997,0.08,"",,2002,0.08,"",,2007,0.08,"",,2012,0.08,"",,2017,0.08,"",
"Iraq","Groundwater: leaving the country to other countries (total) (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Groundwater: accounted outflow to other countries (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Water resources: total external renewable (10^9 m3/year)",1987,54.66,"I",,1992,54.66,"I",,1997,54.66,"I",,2002,54.66,"I",,2007,54.66,"I",,2012,54.66,"I",,2017,54.66,"I",
"Iraq","Total renewable surface water (10^9 m3/year)",1987,88.58,"I",,1992,88.58,"I",,1997,88.58,"I",,2002,88.58,"I",,2007,88.58,"I",,2012,88.58,"I",,2017,88.58,"I",
"Iraq","Total renewable groundwater (10^9 m3/year)",1987,3.28,"",,1992,3.28,"",,1997,3.28,"",,2002,3.28,"",,2007,3.28,"",,2012,3.28,"",,2017,3.28,"",
"Iraq","Overlap: between surface water and groundwater (10^9 m3/year)",1987,2.0,"",,1992,2.0,"",,1997,2.0,"",,2002,2.0,"",,2007,2.0,"",,2012,2.0,"",,2017,2.0,"",
"Iraq","Total renewable water resources (10^9 m3/year)",1987,89.86,"I",,1992,89.86,"I",,1997,89.86,"I",,2002,89.86,"I",,2007,89.86,"I",,2012,89.86,"I",,2017,89.86,"I",
"Iraq","Dependency ratio (%)",1987,60.83,"I",,1992,60.83,"I",,1997,60.83,"I",,2002,60.83,"I",,2007,60.83,"I",,2012,60.83,"I",,2017,60.83,"I",
"Iraq","Total renewable water resources per capita (m3/inhab/year)",1987,5516.0,"K",,1992,4868.0,"K",,1997,4178.0,"K",,2002,3603.0,"K",,2007,3165.0,"K",,2012,2742.0,"K",,2017,2348.0,"K",
"Iraq","Exploitable: regular renewable surface water (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Exploitable: irregular renewable surface water (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Exploitable: total renewable surface water (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Exploitable: regular renewable groundwater (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Total exploitable water resources (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Interannual variability (WRI) (-)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2013,1.6,"E",
"Iraq","Seasonal variability (WRI) (-)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2013,2.5,"E",
"Iraq","Total dam capacity (km3)",1985,151.8,"L",,1990,151.8,"L",,1995,151.8,"L",,2000,151.8,"L",,2005,151.8,"L",,2010,151.8,"L",,2015,151.8,"L",
"Iraq","Dam capacity per capita (m3/inhab)",1985,9319.0,"K",,1990,8224.0,"K",,1995,7058.0,"K",,2000,6087.0,"K",,2005,5347.0,"K",,2010,4631.0,"K",,2015,3966.0,"K",
"Iraq","Agricultural water withdrawal (10^9 m3/year)",1985,40.0,"",,1990,39.38,"",,1995,45.69,"I",,2000,52.0,"",,,,"",,,,"",,2016,35.27,"",
"Iraq","Industrial water withdrawal (10^9 m3/year)",1985,0.17,"",,1990,2.14,"",,1995,5.92,"I",,2000,9.7,"",,,,"",,,,"",,2016,2.05,"",
"Iraq","Municipal water withdrawal (10^9 m3/year)",1985,0.85,"",,1990,1.28,"",,1995,2.79,"I",,2000,4.3,"",,,,"",,,,"",,2016,1.23,"",
"Iraq","Total water withdrawal (10^9 m3/year)",1985,41.02,"",,1990,42.8,"",,1995,54.4,"I",,2000,66.0,"",,,,"",,,,"",,2016,38.55,"",
"Iraq","Irrigation water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Irrigation water requirement (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,2010,15.02,"L",,,,"",
"Iraq","Agricultural water withdrawal as % of total water withdrawal (%)",1985,97.51,"",,1990,92.01,"",,1995,83.99,"I",,2000,78.79,"",,,,"",,,,"",,2016,91.49,"",
"Iraq","Industrial water withdrawal as % of total water withdrawal (%)",1985,0.4144,"",,1990,5.0,"",,1995,10.88,"I",,2000,14.7,"",,,,"",,,,"",,2016,5.318,"",
"Iraq","Municipal water withdrawal as % of total withdrawal (%)",1985,2.072,"",,1990,2.991,"",,1995,5.129,"I",,2000,6.515,"",,,,"",,,,"",,2016,3.191,"",
"Iraq","Total water withdrawal per capita (m3/inhab/year)",1985,2518.0,"K",,1990,2319.0,"K",,1995,2529.0,"K",,2000,2646.0,"K",,,,"",,,,"",,2016,1007.0,"K",
"Iraq","Environmental Flow Requirements (10^9 m3/year)",1987,18.66,"E","[25]",1992,18.66,"E","[26]",1997,18.66,"E","[27]",2002,18.66,"E","[28]",2007,18.66,"E","[29]",2012,18.66,"E","[30]",2017,18.66,"E","[31]"
"Iraq","Fresh surface water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Fresh groundwater withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Total freshwater withdrawal (10^9 m3/year)",1985,41.02,"",,1990,42.8,"",,1995,54.39,"I",,2000,65.99,"I",,,,"",,,,"",,2016,38.54,"",
"Iraq","Desalinated water produced (10^9 m3/year)",,,"",,,,"",,1997,0.0074,"","[32]",2000,0.0074,"I",,,,"",,,,"",,2016,0.007,"",
"Iraq","Direct use of treated municipal wastewater (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,2012,0.005,"",,,,"",
"Iraq","Direct use of agricultural drainage water (10^9 m3/year)",,,"",,,,"",,1997,0.0,"I",,,,"",,,,"",,,,"",,,,"",
"Iraq","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",1985,45.65,"I",,1990,47.63,"I",,1995,60.53,"I",,2000,73.44,"I",,,,"",,,,"",,2016,42.89,"I",
"Iraq","Agricultural water withdrawal as % of total renewable water resources (%)",1985,44.51,"I",,1990,43.82,"I",,1995,50.85,"I",,2000,57.87,"I",,,,"",,,,"",,2016,39.25,"I",
"Iraq","SDG 6.4.2. Water Stress (%)",1985,57.61,"K",,1990,60.11,"K",,1995,76.39,"K",,2000,92.68,"K",,,,"",,,,"",,2016,54.13,"K",
"Iraq","Irrigation potential (1000 ha)",1987,5554.0,"",,1992,5554.0,"",,1997,5554.0,"",,2002,5554.0,"",,2007,5554.0,"",,2012,5554.0,"",,2013,5554.0,"",
"Iraq","Area equipped for full control irrigation: surface irrigation (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for full control irrigation: sprinkler irrigation (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for full control irrigation: localized irrigation (1000 ha)",,,"",,,,"",,1994,8.0,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for full control irrigation: total (1000 ha)",,,"",,1990,3525.0,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for full control irrigation: actually irrigated (1000 ha)",,,"",,1990,1935.0,"",,,,"",,,,"",,,,"",,2010,1564.0,"I",,,,"",
"Iraq","% of area equipped for full control irrigation actually irrigated (%)",,,"",,1990,54.89,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation: equipped lowland areas (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation: spate irrigation (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation: total (1000 ha)",,,"",,1990,3525.0,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of the area equipped for irrigation managed by women (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of the agricultural holdings with irrigation managed by women (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation: actually irrigated (1000 ha)",,,"",,1990,1935.0,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of the area equipped for irrigation actually irrigated (%)",,,"",,1990,54.9,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of the cultivated area equipped for irrigation (%)",,,"",,1990,63.51,"K",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of irrigation potential equipped for irrigation (%)",,,"",,1990,63.47,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Flood recession cropping area non-equipped (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Cultivated wetlands and inland valley bottoms non-equipped (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Total agricultural water managed area (1000 ha)",,,"",,1990,3525.0,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of agricultural water managed area equipped for irrigation (%)",,,"",,1990,100.0,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation by surface water (1000 ha)",,,"",,1990,3306.0,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation by groundwater (1000 ha)",,,"",,1990,218.6,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation by mixed surface water and groundwater (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation by direct use of treated municipal wastewater (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation by direct use of non-treated municipal wastewater  (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation by direct use of agricultural drainage water (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for irrigation by desalinated water (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of area equipped for irrigation by surface water (%)",,,"",,1990,93.79,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of area equipped for irrigation by groundwater  (%)",,,"",,1990,6.201,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of area equipped for irrigation by mixed surface water and groundwater (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of area equipped for irrigation by direct use of  treated municipal wastewater (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of area equipped for irrigation by direct use of non-treated municipal wastewater (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of area equipped for irrigation by direct use of agricultural drainage water  (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of area equipped for irrigation by desalinated water (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area equipped for power irrigation (surface water or groundwater) (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of area equipped for irrigation power irrigated (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Total harvested irrigated crop area (full control irrigation) (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,2010,2050.0,"K",,,,"",
"Iraq","Harvested irrigated temporary crop area: Total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,2010,1828.0,"",,,,"",
"Iraq","Harvested irrigated permanent crop area: Total (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,2010,222.0,"L",,,,"",
"Iraq","Permanent meadows and pastures irrigated (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Irrigated cropping intensity (%)",,,"",,,,"",,,,"",,,,"",,,,"",,2010,131.1,"K",,,,"",
"Iraq","% of total grain production irrigated (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Conservation agriculture area (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,2012,15.0,"",,,,"",
"Iraq","Conservation agriculture area as % of arable land area (%)",,,"",,,,"",,,,"",,,,"",,,,"",,2012,0.3474,"K",,,,"",
"Iraq","Area salinized by irrigation (1000 ha)",,,"",,1990,1762.0,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","% of area equipped for irrigation salinized (%)",,,"",,1990,49.99,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Area waterlogged by irrigation (1000 ha)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Iraq","Flood occurrence (WRI) (-)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2013,2.4,"E",
"Iraq","Population affected by water related disease (1000 inhab)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",

"",,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Syrian Arab Republic","Total area of the country (excl. coastal waters) (1000 ha)",1987,18518.0,"E",,1992,18518.0,"E",,1997,18518.0,"E",,2002,18518.0,"E",,2007,18518.0,"E",,2012,18518.0,"E",,2016,18518.0,"E",
"Syrian Arab Republic","Arable land area (1000 ha)",1987,4980.0,"E",,1992,4766.0,"E",,1997,4771.0,"E",,2002,4593.0,"E",,2007,4736.0,"E",,2012,4665.0,"E",,2016,4662.0,"E",
"Syrian Arab Republic","Permanent crops area (1000 ha)",1987,650.0,"E",,1992,788.0,"E",,1997,750.0,"E",,2002,828.0,"E",,2007,947.0,"E",,2012,1066.0,"E",,2016,1071.0,"E",
"Syrian Arab Republic","Cultivated area (arable land + permanent crops) (1000 ha)",1987,5630.0,"E",,1992,5554.0,"E",,1997,5521.0,"E",,2002,5421.0,"E",,2007,5683.0,"E",,2012,5731.0,"E",,2016,5733.0,"E",
"Syrian Arab Republic","% of total country area cultivated (%)",1987,30.4,"E",,1992,29.99,"E",,1997,29.81,"E",,2002,29.27,"E",,2007,30.69,"E",,2012,30.95,"E",,2016,30.96,"E",
"Syrian Arab Republic","Total population (1000 inhab)",1987,11361.0,"E",,1992,13187.0,"E",,1997,15177.0,"E",,2002,17088.0,"E",,2007,19633.0,"E",,2012,20421.0,"E",,2017,18270.0,"E",
"Syrian Arab Republic","Rural population (1000 inhab)",1987,5866.0,"E",,1992,6679.0,"E",,1997,7465.0,"E",,2002,8135.0,"E",,2007,8966.0,"E",,2012,8062.0,"E",,2017,4548.0,"E",
"Syrian Arab Republic","Urban population (1000 inhab)",1987,5495.0,"E",,1992,6508.0,"E",,1997,7712.0,"E",,2002,8953.0,"E",,2007,10667.0,"E",,2012,12359.0,"E",,2017,13722.0,"E",
"Syrian Arab Republic","Population density (inhab/km2)",1987,61.35,"E",,1992,71.21,"E",,1997,81.96,"E",,2002,92.28,"E",,2007,106.0,"E",,2012,110.3,"E",,2017,98.66,"E",
"Syrian Arab Republic","Gross Domestic Product (GDP) (current US$)",1987,1.1356215713E10,"E",,1992,1.3253565899E10,"E",,1997,1.4505233969E10,"E",,2002,2.1582248882E10,"E",,2007,4.0405006007E10,"E",,,,"",,,,"",
"Syrian Arab Republic","GDP per capita (current US$/inhab)",1987,999.6,"E",,1992,1005.0,"E",,1997,955.7,"E",,2002,1263.0,"E",,2007,2058.0,"E",,,,"",,,,"",
"Syrian Arab Republic","Agriculture, value added (% GDP) (%)",1987,26.59,"E",,1992,34.44,"E",,1997,27.88,"E",,2002,26.83,"E",,2007,17.94,"E",,,,"",,,,"",
"Syrian Arab Republic","Human Development Index (HDI) [highest = 1] (-)",,,"",,1990,0.5528,"E",,,,"",,2000,0.5857,"E",,,,"",,2012,0.6231,"E",,2014,0.5937,"E",
"Syrian Arab Republic","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,"",,,,"",,,,"",,,,"",,2005,0.561,"E",,2010,0.546,"E",,2014,0.5329,"E",
"Syrian Arab Republic","Prevalence of undernourishment (3-year average) (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Syrian Arab Republic","Number of people undernourished (3-year average) (1000 inhab)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Syrian Arab Republic","Long-term average annual precipitation in depth (mm/year)",1987,252.0,"E",,1992,252.0,"E",,1997,252.0,"E",,2002,252.0,"E",,2007,252.0,"E",,2012,252.0,"E",,2017,252.0,"E",
"Syrian Arab Republic","Long-term average annual precipitation in volume (10^9 m3/year)",1987,46.67,"E",,1992,46.67,"E",,1997,46.67,"E",,2002,46.67,"E",,2007,46.67,"E",,2012,46.67,"E",,2017,46.67,"E",
"Syrian Arab Republic","Surface water produced internally (10^9 m3/year)",1987,4.288,"",,1992,4.288,"",,1997,4.288,"",,2002,4.288,"",,2007,4.288,"",,2012,4.288,"",,2017,4.288,"",
"Syrian Arab Republic","Groundwater produced internally (10^9 m3/year)",1987,4.844,"",,1992,4.844,"",,1997,4.844,"",,2002,4.844,"",,2007,4.844,"",,2012,4.844,"",,2017,4.844,"",
"Syrian Arab Republic","Overlap between surface water and groundwater (10^9 m3/year)",1987,2.0,"",,1992,2.0,"",,1997,2.0,"",,2002,2.0,"",,2007,2.0,"",,2012,2.0,"",,2017,2.0,"",
"Syrian Arab Republic","Total internal renewable water resources (IRWR) (10^9 m3/year)",1987,7.132,"",,1992,7.132,"",,1997,7.132,"",,2002,7.132,"",,2007,7.132,"",,2012,7.132,"",,2017,7.132,"",
